Order ID,Order Date,Origin Port,Carrier,Traffic Level,Customer ID,Product ID,Destination Port,Unit Quantity,Weight,Cost Per Unit,Total Cost
38,2020-11-14,Port 7,V44_2,1,9243,94,Port 53,35,69,84.44,2955.4
39,2021-03-16,Port 97,V44_9,4,8433,57,Port 59,243,295,93.76,22783.68
40,2021-11-20,Port 84,V44_1,1,6469,48,Port 24,387,177,76.93,29771.91
41,2020-07-28,Port 16,V44_4,3,5399,60,Port 33,219,249,53.75,11771.25
42,2020-07-08,Port 58,V44_4,5,1589,56,Port 36,70,965,81.98,5738.6
43,2022-02-17,Port 39,V44_3,4,5509,71,Port 49,2,139,34.31,68.62
44,2020-07-17,Port 74,V44_5,5,4920,54,Port 74,173,688,97.54,16874.42
45,2022-01-05,Port 95,V44_3,1,7652,45,Port 29,181,708,90.63,16404.03
46,2021-12-05,Port 1,V44_12,4,1303,91,Port 15,10,174,53.8,538.0
47,2023-05-21,Port 59,V44_12,4,2641,85,Port 57,312,605,85.51,26679.12
48,2021-06-25,Port 44,V44_7,1,8071,4,Port 21,140,421,70.74,9903.6
49,2020-03-29,Port 31,V44_1,3,7272,51,Port 73,337,772,78.32,26393.84
50,2022-07-29,Port 96,V44_6,1,3760,31,Port 36,258,257,16.24,4189.92
51,2023-01-03,Port 75,V44_1,3,8964,48,Port 57,216,813,87.97,19001.52
52,2020-09-12,Port 73,V44_9,3,1871,86,Port 56,289,915,82.69,23897.41
53,2022-02-14,Port 92,V44_1,4,1552,1,Port 31,309,300,67.2,20764.8
54,2020-06-10,Port 81,V44_2,2,2069,88,Port 72,393,109,50.48,19838.64
55,2023-02-04,Port 86,V44_9,3,2062,51,Port 1,201,337,46.11,9268.11
56,2021-08-23,Port 69,V44_11,3,7957,23,Port 70,416,600,73.72,30667.52
57,2023-07-11,Port 77,V44_5,5,4281,86,Port 29,141,970,17.28,2436.48
58,2023-06-20,Port 30,V44_10,1,2854,80,Port 73,286,212,45.08,12892.88
59,2022-01-10,Port 45,V44_9,1,6630,69,Port 5,230,914,90.19,20743.7
60,2023-03-28,Port 39,V44_1,3,3759,37,Port 95,423,473,56.58,23933.34
61,2021-01-28,Port 37,V44_5,3,6186,90,Port 51,164,583,14.04,2302.56
62,2023-12-13,Port 86,V44_3,3,4343,6,Port 97,162,963,13.88,2248.56
63,2020-05-22,Port 92,V44_6,2,6433,58,Port 42,360,160,47.43,17074.8
64,2020-04-03,Port 74,V44_4,3,2464,12,Port 34,412,865,15.74,6484.88
65,2023-09-16,Port 87,V44_8,3,4499,6,Port 8,267,478,84.89,22665.63
66,2021-04-11,Port 18,V44_4,1,2403,71,Port 21,45,495,35.6,1602.0
67,2021-08-15,Port 92,V44_4,5,2076,4,Port 45,36,874,66.14,2381.04
68,2020-06-12,Port 49,V44_11,3,3803,58,Port 79,255,620,48.07,12257.85
69,2021-04-21,Port 67,V44_8,4,7565,15,Port 94,414,897,38.67,16009.38
70,2020-07-25,Port 95,V44_8,4,1852,61,Port 79,119,303,89.22,10617.18
71,2022-02-17,Port 32,V44_8,1,2752,22,Port 71,391,191,59.3,23186.3
72,2021-07-23,Port 14,V44_4,2,8765,47,Port 42,261,799,13.3,3471.3
73,2022-07-17,Port 42,V44_2,4,6400,38,Port 14,395,806,29.8,11771.0
74,2023-07-25,Port 67,V44_3,1,3709,49,Port 90,420,633,26.55,11151.0
75,2022-01-17,Port 75,V44_7,2,2177,73,Port 78,114,443,50.76,5786.64
76,2020-11-29,Port 25,V44_9,1,3806,4,Port 29,22,18,20.69,455.18
77,2022-01-28,Port 100,V44_11,4,7319,68,Port 95,472,962,20.07,9473.04
78,2021-12-28,Port 47,V44_11,3,6179,30,Port 78,293,977,24.14,7073.02
79,2021-03-05,Port 59,V44_9,5,3744,36,Port 29,18,340,92.96,1673.28
80,2023-10-04,Port 13,V44_2,5,2171,59,Port 17,337,775,69.32,23360.84
81,2021-06-30,Port 19,V44_3,1,5012,13,Port 60,403,205,34.73,13996.19
82,2023-12-08,Port 92,V44_11,3,1905,55,Port 90,286,508,13.02,3723.72
83,2023-10-31,Port 55,V44_3,2,1724,97,Port 21,43,603,85.11,3659.73
84,2023-08-20,Port 53,V44_9,3,5880,45,Port 98,406,772,25.21,10235.26
85,2020-05-26,Port 11,V44_3,3,9925,60,Port 64,3,795,14.1,42.3
86,2023-06-01,Port 12,V44_2,3,1606,32,Port 24,212,36,70.19,14880.28
87,2023-07-24,Port 8,V44_8,5,7225,80,Port 70,119,590,89.8,10686.2
88,2020-12-16,Port 55,V44_9,2,8569,44,Port 12,224,42,10.28,2302.72
89,2022-12-29,Port 17,V44_2,4,3428,70,Port 21,461,160,58.44,26940.84
90,2021-05-16,Port 61,V44_10,1,9460,33,Port 74,482,863,36.82,17747.24
91,2020-11-30,Port 28,V44_3,2,9705,85,Port 16,166,187,86.08,14289.28
92,2022-08-04,Port 58,V44_4,2,6086,65,Port 50,56,370,67.61,3786.16
93,2022-02-16,Port 10,V44_11,3,9601,58,Port 29,269,380,53.48,14386.12
94,2021-07-06,Port 48,V44_7,4,7330,20,Port 45,84,327,27.5,2310.0
95,2023-08-03,Port 87,V44_11,5,7639,68,Port 84,270,562,99.99,26997.3
96,2023-11-10,Port 68,V44_6,4,9682,79,Port 7,276,807,39.65,10943.4
97,2023-02-14,Port 52,V44_4,1,7067,95,Port 39,180,602,50.39,9070.2
98,2021-03-25,Port 76,V44_5,2,4982,34,Port 99,386,174,30.11,11622.46
99,2023-11-03,Port 72,V44_7,5,6530,75,Port 73,112,280,69.73,7809.76
100,2021-10-26,Port 67,V44_1,2,7808,90,Port 55,412,352,91.74,37796.88
101,2020-04-24,Port 100,V44_7,4,2355,12,Port 8,266,693,21.68,5766.88
102,2021-04-14,Port 51,V44_1,4,4527,76,Port 17,310,145,19.81,6141.1
103,2020-03-06,Port 34,V44_6,2,8411,33,Port 56,78,116,67.78,5286.84
104,2021-10-08,Port 75,V44_7,2,3230,37,Port 92,53,821,66.07,3501.71
105,2022-04-01,Port 64,V44_1,3,2547,44,Port 54,290,600,98.47,28556.3
106,2021-07-02,Port 82,V44_4,1,1650,80,Port 58,226,400,50.12,11327.12
107,2020-05-15,Port 55,V44_11,1,6100,50,Port 51,359,247,65.67,23575.53
108,2021-03-08,Port 57,V44_12,2,8327,40,Port 83,472,722,49.43,23330.96
109,2023-03-07,Port 89,V44_6,3,9369,31,Port 43,362,751,35.03,12680.86
110,2021-10-06,Port 63,V44_7,3,1987,30,Port 22,108,105,39.34,4248.72
111,2021-03-11,Port 94,V44_8,4,2827,34,Port 59,211,785,13.09,2761.99
112,2023-09-04,Port 54,V44_10,3,8810,19,Port 22,263,452,99.01,26039.63
113,2022-10-19,Port 21,V44_4,3,4442,1,Port 71,472,719,17.74,8373.28
114,2022-03-21,Port 19,V44_12,4,7215,22,Port 83,360,883,35.33,12718.8
115,2023-08-09,Port 65,V44_3,5,3751,41,Port 39,360,739,63.77,22957.2
116,2022-07-28,Port 17,V44_8,3,4913,93,Port 46,205,959,97.67,20022.35
117,2020-10-19,Port 63,V44_10,5,5034,90,Port 27,147,893,39.96,5874.12
118,2021-06-26,Port 92,V44_9,2,2743,100,Port 76,100,882,44.01,4401.0
119,2020-10-12,Port 59,V44_7,5,8014,8,Port 63,87,947,77.35,6729.45
120,2021-05-20,Port 17,V44_11,2,6924,67,Port 34,400,647,75.02,30008.0
121,2023-02-23,Port 91,V44_11,1,9040,41,Port 80,348,164,37.74,13133.52
122,2023-01-08,Port 66,V44_3,2,7817,67,Port 96,337,907,26.93,9075.41
123,2021-06-22,Port 68,V44_4,3,1453,16,Port 81,213,3,38.99,8304.87
124,2023-04-12,Port 16,V44_10,5,8178,86,Port 76,269,907,15.08,4056.52
125,2022-05-27,Port 89,V44_9,2,8519,83,Port 48,75,992,59.6,4470.0
126,2023-04-10,Port 28,V44_5,1,4524,51,Port 3,277,303,66.15,18323.55
127,2022-03-28,Port 59,V44_8,1,7390,78,Port 58,361,416,59.8,21587.8
128,2022-01-11,Port 61,V44_2,5,9986,46,Port 93,18,29,40.13,722.34
129,2021-03-25,Port 5,V44_7,1,9318,19,Port 1,250,269,25.38,6345.0
130,2020-10-10,Port 96,V44_10,5,6393,60,Port 65,47,295,48.09,2260.23
131,2022-11-09,Port 21,V44_1,3,5254,2,Port 70,463,827,18.1,8380.3
132,2022-10-07,Port 72,V44_7,3,2776,70,Port 56,188,248,56.44,10610.72
133,2020-07-05,Port 48,V44_2,4,5826,33,Port 39,263,588,14.3,3760.9
134,2020-04-06,Port 16,V44_9,3,7788,26,Port 1,260,119,68.31,17760.6
135,2020-08-12,Port 78,V44_2,1,7931,96,Port 54,392,82,87.54,34315.68
136,2020-11-09,Port 53,V44_12,3,8754,32,Port 96,177,537,65.79,11644.83
137,2023-07-09,Port 15,V44_3,1,5928,64,Port 64,48,9,35.8,1718.4
138,2020-11-23,Port 16,V44_11,4,1686,83,Port 47,417,839,21.63,9019.71
139,2023-10-25,Port 48,V44_1,5,6531,87,Port 97,389,142,35.22,13700.58
140,2022-05-14,Port 74,V44_6,5,6178,95,Port 53,492,552,35.41,17421.72
141,2023-05-06,Port 38,V44_5,3,3796,3,Port 3,202,246,27.56,5567.12
142,2020-05-10,Port 6,V44_7,4,7344,10,Port 22,229,729,62.36,14280.44
143,2022-02-27,Port 67,V44_5,1,2241,29,Port 6,367,70,95.61,35088.87
144,2022-02-20,Port 20,V44_8,5,9264,43,Port 70,432,347,87.51,37804.32
145,2023-05-05,Port 16,V44_11,2,3314,48,Port 2,308,972,57.65,17756.2
146,2022-08-16,Port 48,V44_6,4,4495,98,Port 86,307,265,78.91,24225.37
147,2022-12-19,Port 40,V44_5,5,4021,37,Port 92,66,931,50.06,3303.96
148,2021-05-29,Port 48,V44_9,3,8298,29,Port 14,374,949,18.79,7027.46
149,2023-02-07,Port 39,V44_10,4,8987,31,Port 73,254,640,22.58,5735.32
150,2020-01-24,Port 38,V44_6,2,6259,67,Port 22,440,582,22.29,9807.6
151,2023-10-25,Port 63,V44_5,1,7009,58,Port 77,349,35,21.78,7601.22
152,2020-08-22,Port 4,V44_8,4,1745,76,Port 6,362,362,85.51,30954.62
153,2023-10-28,Port 19,V44_9,2,6845,19,Port 22,14,738,25.52,357.28
154,2023-01-04,Port 19,V44_8,3,6639,78,Port 24,131,171,57.89,7583.59
155,2021-06-30,Port 76,V44_7,2,4747,79,Port 99,457,650,55.73,25468.61
156,2023-08-05,Port 54,V44_12,1,4527,43,Port 10,394,351,60.72,23923.68
157,2021-11-27,Port 7,V44_10,3,4984,58,Port 48,35,886,58.93,2062.55
158,2020-08-16,Port 40,V44_12,4,5011,69,Port 100,330,676,80.32,26505.6
159,2021-08-24,Port 37,V44_9,1,6240,21,Port 39,252,603,21.14,5327.28
160,2022-06-09,Port 28,V44_11,1,3846,52,Port 31,106,80,91.6,9709.6
161,2020-11-19,Port 24,V44_10,3,7983,9,Port 80,317,536,94.47,29946.99
162,2022-07-18,Port 95,V44_10,4,3822,8,Port 5,494,277,60.63,29951.22
163,2020-01-07,Port 63,V44_11,5,7470,2,Port 36,119,932,27.55,3278.45
164,2021-06-23,Port 1,V44_10,5,6270,30,Port 34,166,646,31.59,5243.94
165,2022-10-22,Port 16,V44_3,1,3824,23,Port 70,84,322,72.75,6111.0
166,2020-12-31,Port 71,V44_8,2,2651,73,Port 74,168,431,74.73,12554.64
167,2022-11-05,Port 45,V44_6,5,3013,14,Port 5,436,374,48.99,21359.64
168,2020-08-05,Port 9,V44_2,4,5452,73,Port 75,390,554,98.18,38290.2
169,2023-07-04,Port 6,V44_12,3,2222,54,Port 29,254,932,90.28,22931.12
170,2021-09-03,Port 54,V44_8,1,2395,92,Port 23,11,294,11.99,131.89
171,2023-08-01,Port 62,V44_6,4,7083,46,Port 21,169,226,81.21,13724.49
172,2022-11-05,Port 74,V44_9,3,4540,96,Port 45,487,411,49.97,24335.39
173,2023-06-01,Port 40,V44_9,1,1693,41,Port 25,397,124,11.83,4696.51
174,2021-02-11,Port 73,V44_10,3,4782,57,Port 32,310,671,46.36,14371.6
175,2020-11-09,Port 58,V44_11,3,8072,29,Port 27,164,657,10.4,1705.6
176,2022-02-04,Port 44,V44_2,5,6152,71,Port 23,259,200,75.76,19621.84
177,2020-11-26,Port 49,V44_5,5,1852,95,Port 1,1,17,76.27,76.27
178,2023-01-09,Port 61,V44_11,5,5087,42,Port 22,496,795,17.8,8828.8
179,2022-12-22,Port 93,V44_5,1,5401,94,Port 32,366,825,73.82,27018.12
180,2020-01-02,Port 78,V44_5,5,3572,33,Port 46,29,340,30.88,895.52
181,2023-05-11,Port 17,V44_5,4,1289,93,Port 9,479,191,29.44,14101.76
182,2021-10-25,Port 98,V44_10,1,7670,65,Port 6,113,486,74.15,8378.95
183,2022-09-27,Port 18,V44_9,3,5409,41,Port 20,279,309,27.37,7636.23
184,2020-02-09,Port 65,V44_4,2,8216,19,Port 48,208,360,78.22,16269.76
185,2020-08-17,Port 82,V44_6,2,5789,86,Port 84,40,669,63.64,2545.6
186,2022-01-13,Port 59,V44_6,5,2855,70,Port 43,490,558,99.15,48583.5
187,2021-09-21,Port 98,V44_4,3,5547,72,Port 45,431,72,77.63,33458.53
188,2021-05-05,Port 58,V44_10,3,6554,98,Port 8,159,523,46.83,7445.97
189,2020-04-28,Port 86,V44_4,3,3819,52,Port 15,105,13,84.42,8864.1
190,2021-05-08,Port 58,V44_6,1,9195,47,Port 80,284,571,84.41,23972.44
191,2023-03-07,Port 20,V44_5,1,7618,25,Port 94,10,208,51.58,515.8
192,2020-06-10,Port 94,V44_4,5,9959,42,Port 29,182,373,34.5,6279.0
193,2020-06-24,Port 42,V44_6,2,2525,18,Port 44,113,660,71.6,8090.8
194,2022-09-22,Port 12,V44_9,4,2710,42,Port 37,439,416,76.2,33451.8
195,2020-05-21,Port 80,V44_11,1,3873,56,Port 43,389,738,31.61,12296.29
196,2022-12-26,Port 86,V44_7,5,7492,19,Port 92,346,919,99.6,34461.6
197,2020-09-14,Port 80,V44_5,5,6240,46,Port 88,382,596,27.79,10615.78
198,2020-09-19,Port 53,V44_5,2,1152,73,Port 5,27,333,26.91,726.57
199,2023-09-13,Port 50,V44_10,5,6370,93,Port 29,437,978,53.42,23344.54
200,2022-08-31,Port 30,V44_7,5,6927,10,Port 52,423,955,25.28,10693.44
201,2023-01-30,Port 51,V44_11,4,1822,96,Port 75,102,65,37.73,3848.46
202,2020-12-04,Port 44,V44_11,4,3848,48,Port 65,384,336,24.17,9281.28
203,2021-06-26,Port 70,V44_4,2,9460,71,Port 71,136,95,23.24,3160.64
204,2022-12-16,Port 6,V44_10,4,8542,4,Port 72,361,430,39.9,14403.9
205,2023-05-27,Port 86,V44_3,1,2548,12,Port 37,241,929,76.76,18499.16
206,2022-05-16,Port 57,V44_12,2,3689,42,Port 89,332,1,92.79,30806.28
207,2021-03-09,Port 95,V44_5,5,5416,100,Port 27,38,141,76.6,2910.8
208,2023-01-09,Port 36,V44_4,5,8284,91,Port 80,460,475,11.15,5129.0
209,2023-11-13,Port 83,V44_11,2,8544,87,Port 25,222,781,91.43,20297.46
210,2021-02-15,Port 12,V44_11,5,9229,85,Port 97,1,188,88.52,88.52
211,2023-12-31,Port 22,V44_6,3,8024,89,Port 100,473,964,19.03,9001.19
212,2021-09-30,Port 91,V44_12,3,9042,90,Port 32,17,388,77.78,1322.26
213,2022-03-28,Port 4,V44_9,1,6516,87,Port 25,206,449,76.7,15800.2
214,2023-10-07,Port 74,V44_9,5,9180,26,Port 21,339,144,43.24,14658.36
215,2023-08-23,Port 81,V44_6,1,1603,54,Port 38,294,365,31.15,9158.1
216,2022-02-03,Port 99,V44_4,3,3233,53,Port 32,156,262,74.82,11671.92
217,2022-06-16,Port 91,V44_8,2,5071,19,Port 51,425,575,98.99,42070.75
218,2022-11-25,Port 40,V44_10,4,1340,18,Port 21,456,539,95.58,43584.48
219,2022-07-13,Port 72,V44_9,5,4636,77,Port 76,111,20,71.45,7930.95
220,2020-09-04,Port 83,V44_3,3,1098,66,Port 55,175,664,96.31,16854.25
221,2021-05-22,Port 16,V44_2,5,8957,53,Port 17,96,728,87.89,8437.44
222,2021-04-05,Port 83,V44_12,5,6930,3,Port 1,404,232,10.26,4145.04
223,2020-05-11,Port 72,V44_12,4,7976,27,Port 69,331,675,39.16,12961.96
224,2021-11-23,Port 11,V44_5,1,1879,38,Port 4,138,636,90.66,12511.08
225,2020-02-13,Port 25,V44_11,5,3414,68,Port 45,469,683,40.11,18811.59
226,2023-04-19,Port 80,V44_4,4,5142,35,Port 73,477,13,38.62,18421.74
227,2023-02-08,Port 70,V44_4,3,8784,16,Port 96,426,314,52.5,22365.0
228,2021-04-16,Port 74,V44_10,2,6319,70,Port 95,116,859,83.18,9648.88
229,2023-04-20,Port 97,V44_11,3,9005,38,Port 69,154,332,34.54,5319.16
230,2021-03-27,Port 7,V44_6,1,1385,61,Port 83,126,271,19.06,2401.56
231,2020-01-15,Port 73,V44_3,4,8136,27,Port 30,460,501,79.36,36505.6
232,2020-05-25,Port 67,V44_11,3,1257,1,Port 16,341,230,67.65,23068.65
233,2023-12-20,Port 25,V44_8,4,6192,69,Port 17,151,934,91.27,13781.77
234,2023-07-16,Port 97,V44_6,5,8770,9,Port 35,455,455,37.21,16930.55
235,2020-04-30,Port 61,V44_4,2,2874,27,Port 97,432,430,65.59,28334.88
236,2021-04-13,Port 65,V44_7,1,1495,4,Port 35,146,666,38.83,5669.18
237,2020-05-18,Port 3,V44_8,1,2579,45,Port 12,409,899,73.87,30212.83
238,2020-03-05,Port 16,V44_12,2,2324,62,Port 21,118,526,28.75,3392.5
239,2021-11-07,Port 85,V44_5,2,1164,76,Port 75,344,331,25.23,8679.12
240,2020-05-25,Port 69,V44_10,1,5749,85,Port 8,365,502,84.06,30681.9
241,2022-11-18,Port 24,V44_8,4,2550,99,Port 57,388,937,14.8,5742.4
242,2021-05-02,Port 3,V44_9,1,8243,64,Port 100,327,191,99.88,32660.76
243,2021-07-24,Port 36,V44_6,1,6550,52,Port 43,297,385,35.24,10466.28
244,2023-10-02,Port 27,V44_3,1,2806,78,Port 97,265,977,42.12,11161.8
245,2022-09-21,Port 32,V44_5,4,1165,1,Port 77,125,662,23.21,2901.25
246,2021-03-14,Port 91,V44_10,3,5167,99,Port 51,381,525,66.28,25252.68
247,2023-01-09,Port 75,V44_2,4,4753,22,Port 41,447,733,24.46,10933.62
248,2020-09-27,Port 57,V44_5,2,4608,45,Port 79,243,435,62.37,15155.91
249,2023-03-15,Port 11,V44_2,4,5207,79,Port 77,73,223,10.77,786.21
250,2023-03-26,Port 69,V44_7,5,2774,18,Port 79,183,626,74.89,13704.87
251,2022-08-26,Port 78,V44_9,3,5373,63,Port 18,184,178,19.45,3578.8
252,2021-05-12,Port 42,V44_7,5,3425,92,Port 8,159,814,31.46,5002.14
253,2022-08-26,Port 52,V44_1,2,5264,74,Port 16,180,940,99.21,17857.8
254,2022-04-13,Port 76,V44_2,4,9104,54,Port 19,140,996,94.75,13265.0
255,2021-01-24,Port 6,V44_4,4,7329,80,Port 32,216,4,99.59,21511.44
256,2020-07-12,Port 63,V44_5,4,9573,52,Port 64,43,18,43.55,1872.65
257,2020-07-17,Port 3,V44_8,5,7251,39,Port 52,278,13,29.1,8089.8
258,2023-09-11,Port 44,V44_8,3,2140,17,Port 26,438,743,41.3,18089.4
259,2022-06-01,Port 56,V44_9,3,7158,96,Port 10,172,541,16.4,2820.8
260,2021-12-26,Port 24,V44_10,5,6455,66,Port 62,473,590,56.62,26781.26
261,2022-05-17,Port 54,V44_5,1,2928,59,Port 59,159,562,60.47,9614.73
262,2022-04-21,Port 4,V44_9,3,5117,69,Port 40,130,380,89.49,11633.7
263,2022-08-14,Port 68,V44_10,3,1514,74,Port 76,279,93,79.14,22080.06
264,2020-04-20,Port 41,V44_7,5,3230,39,Port 48,410,887,35.86,14702.6
265,2023-10-11,Port 49,V44_4,1,5239,10,Port 36,387,73,33.43,12937.41
266,2023-08-31,Port 33,V44_5,2,8321,68,Port 21,209,156,93.48,19537.32
267,2023-08-16,Port 12,V44_1,3,9321,74,Port 9,261,111,50.4,13154.4
268,2020-07-20,Port 15,V44_7,5,9335,8,Port 2,435,287,56.43,24547.05
269,2020-05-04,Port 13,V44_11,2,2711,28,Port 50,257,4,80.7,20739.9
270,2022-04-04,Port 70,V44_8,1,9861,58,Port 24,184,423,87.13,16031.92
271,2021-11-25,Port 22,V44_10,4,4250,90,Port 77,102,486,89.22,9100.44
272,2020-08-11,Port 37,V44_2,3,1825,61,Port 100,474,903,60.62,28733.88
273,2021-05-24,Port 19,V44_8,1,4977,33,Port 35,114,35,51.08,5823.12
274,2021-01-27,Port 24,V44_7,1,2602,93,Port 83,188,21,58.03,10909.64
275,2021-01-24,Port 33,V44_7,4,7306,76,Port 12,28,431,97.13,2719.64
276,2023-01-03,Port 99,V44_6,4,1436,46,Port 73,111,153,11.91,1322.01
277,2022-07-07,Port 12,V44_2,1,8105,82,Port 27,279,278,47.5,13252.5
278,2020-10-14,Port 20,V44_3,2,6295,63,Port 58,25,261,31.0,775.0
279,2022-05-14,Port 40,V44_3,3,6652,67,Port 44,221,973,14.44,3191.24
280,2021-01-10,Port 53,V44_2,5,6471,59,Port 80,156,455,79.91,12465.96
281,2021-07-24,Port 87,V44_6,1,5159,45,Port 13,425,779,95.67,40659.75
282,2022-08-05,Port 22,V44_1,4,2109,29,Port 76,466,853,10.32,4809.12
283,2021-05-26,Port 8,V44_1,1,7979,42,Port 17,36,435,63.51,2286.36
284,2020-06-03,Port 79,V44_2,5,9365,60,Port 24,107,619,12.55,1342.85
285,2022-06-26,Port 42,V44_5,4,8729,9,Port 51,54,620,43.68,2358.72
286,2023-02-01,Port 24,V44_2,5,6213,79,Port 58,73,425,77.74,5675.02
287,2020-07-19,Port 4,V44_9,2,5056,29,Port 10,104,205,61.41,6386.64
288,2020-04-13,Port 92,V44_9,2,2273,92,Port 90,234,247,34.93,8173.62
289,2023-08-28,Port 8,V44_5,2,9720,32,Port 30,165,239,92.5,15262.5
290,2023-01-12,Port 39,V44_3,1,1674,8,Port 13,449,129,99.15,44518.35
291,2020-01-31,Port 50,V44_2,5,8795,15,Port 62,187,734,30.79,5757.73
292,2020-07-10,Port 13,V44_12,4,9640,30,Port 48,63,281,60.04,3782.52
293,2021-04-29,Port 41,V44_11,2,5841,78,Port 30,181,468,81.77,14800.37
294,2020-12-06,Port 19,V44_7,5,4097,65,Port 93,386,448,82.85,31980.1
295,2022-04-12,Port 53,V44_4,5,8217,5,Port 52,103,975,73.57,7577.71
296,2022-09-21,Port 42,V44_1,3,4691,59,Port 17,3,347,20.06,60.18
297,2022-09-12,Port 34,V44_11,4,2770,79,Port 55,323,696,68.31,22064.13
298,2021-03-13,Port 49,V44_10,2,6846,22,Port 36,324,586,40.37,13079.88
299,2022-04-01,Port 16,V44_1,2,9669,36,Port 61,485,511,44.92,21786.2
300,2020-04-30,Port 7,V44_1,3,1320,89,Port 41,13,345,30.25,393.25
301,2020-12-03,Port 26,V44_2,4,4279,35,Port 20,342,378,41.3,14124.6
302,2022-02-15,Port 31,V44_6,2,8458,71,Port 86,226,49,49.26,11132.76
303,2020-01-05,Port 97,V44_10,3,2887,65,Port 66,480,259,98.89,47467.2
304,2022-03-10,Port 77,V44_12,2,7743,9,Port 81,156,347,75.0,11700.0
305,2021-06-27,Port 76,V44_5,5,9800,57,Port 52,222,107,22.79,5059.38
306,2022-07-20,Port 31,V44_5,3,3837,90,Port 33,103,331,27.71,2854.13
307,2021-08-07,Port 64,V44_7,1,6986,73,Port 50,140,951,39.44,5521.6
308,2022-05-16,Port 66,V44_4,5,2042,66,Port 14,318,850,68.97,21932.46
309,2023-11-27,Port 97,V44_4,1,9993,81,Port 19,113,45,26.98,3048.74
310,2023-02-12,Port 65,V44_4,5,8285,25,Port 90,232,345,18.46,4282.72
311,2023-09-17,Port 50,V44_10,1,7235,77,Port 4,104,881,36.74,3820.96
312,2022-09-23,Port 15,V44_10,4,3576,44,Port 80,59,803,65.64,3872.76
313,2020-11-13,Port 35,V44_10,1,5750,76,Port 55,43,923,92.23,3965.89
314,2021-01-23,Port 8,V44_5,5,4852,45,Port 16,67,480,59.25,3969.75
315,2021-08-30,Port 41,V44_9,1,7968,43,Port 58,24,524,60.58,1453.92
